temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway
50.0	2.1839100157528534e-08	2.1839550545131887e-08	2.183910015752853e-08	2.1839100157528527e-08	2.1118158581348674e-08	2.1180261068648087e-19	-2.668641468852471e-10	4.661436794721281e-13	9.458479921272972e-11	3.8493589578168696e-12	9.071041173630916e-11	1.8978354514795804e-14	4.4716419849042203e-13	1.7612870687623416e-10	3.222278707737353e-15	1.126887441097576e-18	2.5028518603690777e-14	4.540774292605149e-10	PNCA
50.0	2.1749231486719358e-08	2.174923338439728e-08	2.174923148671936e-08	2.1749231486719358e-08	2.1118391549871343e-08	2.8777121718429687e-19	-1.7673096124391904e-10	4.778787459482979e-13	3.054158174574206e-10	3.0482589595089993e-10	5.58702337980778e-13	4.770038043413767e-13	8.741280549834347e-16	1.7614103981151475e-10	1.023103728252475e-15	4.461196721822328e-19	3.1219168539902617e-14	4.5410897581775595e-10	PNCA
50.0	2.1748867528199392e-08	2.1748868705593995e-08	2.1748867528199395e-08	2.1748867528199385e-08	2.1118485065873567e-08	1.8835304966389108e-17	-1.7628460196095324e-10	2.5972484600171477e-13	1.7514914177311417e-10	1.75001250524087e-10	1.4006471538544135e-13	2.5951584968795234e-13	2.0769812190734618e-16	1.761367299035702e-10	9.69590513406666e-16	1.0600073694655876e-19	7.826533641680634e-15	4.5409786000852983e-10	PNCA
50.0	2.1749979543281873e-08	2.174998172383026e-08	2.1749979543281873e-08	2.1749979543281866e-08	2.111909914872477e-08	1.7826428528540314e-20	-1.7677335881351889e-10	2.523313418934826e-12	1.450716528347368e-09	1.4500834541294691e-09	5.995713687281166e-13	2.5222804221938167e-12	1.0427023259579605e-15	1.761402850566726e-10	1.1373138766498429e-15	5.321531750917698e-19	3.350284917017583e-14	4.541070353003562e-10	PNCA
50.0	2.1746129088224043e-08	2.174613060970199e-08	2.1746129087575603e-08	2.1746129081324328e-08	2.1115775473884847e-08	1.389049166846327e-19	-1.7630331752839258e-10	1.717899938915874e-13	9.457923642510819e-11	9.439421046586005e-11	1.8385086240554034e-13	1.714530450922877e-13	3.3393556716258996e-16	1.7611829178164464e-10	1.1875170581522355e-15	1.9494239836812006e-20	1.1750968431659292e-15	4.5405029673715044e-10	PNCA
50.0	2.183900666954876e-08	2.1839142464293758e-08	2.1839006669548754e-08	2.183900666954876e-08	2.1118637413555722e-08	2.865718605105042e-19	-2.662600145963285e-10	1.4151049509692179e-13	9.459143680165662e-11	4.472555969553262e-12	9.009111356967625e-11	6.693956413710357e-15	1.3481616562542276e-13	1.7614113430827987e-10	9.782064189023614e-16	3.7951467318259446e-19	2.7767262427065564e-14	4.5410924113922273e-10	PNCA
50.0	2.1843742553771126e-08	2.1843866068471325e-08	2.184374255377113e-08	2.1843742553771123e-08	2.1119070425736915e-08	6.920989867036498e-19	-2.7057370090892324e-10	1.2286342879769598e-13	9.458920296312917e-11	1.5245343760374383e-13	9.443334594913572e-11	1.9803505007015507e-16	1.2266537595845452e-13	1.7613695193364721e-10	8.493064183392277e-16	4.0380133019303537e-20	3.403576389743907e-15	4.5409842726713676e-10	PNCA
50.0	2.175016124483353e-08	2.1750163587570174e-08	2.1750161244833525e-08	2.1750161244833525e-08	2.1118827195010754e-08	2.1040731422180737e-20	-1.7722528714180946e-10	1.572123462041215e-13	1.128378901256363e-10	1.1175356354592027e-10	1.0269430386324614e-12	1.5577260280122133e-13	1.430992709451676e-15	1.7614096083444996e-10	9.110136906666586e-16	7.303209124236132e-19	5.738354108357859e-14	4.5410876242964644e-10	PNCA
50.0	2.178328769663237e-08	2.1783393199843567e-08	2.1783287696632364e-08	2.178328769663237e-08	2.1119792506662147e-08	2.3047682338767576e-20	-2.0939410088120985e-10	2.943665024712448e-13	9.458973309196217e-11	6.133357662238039e-11	3.3245237319101476e-11	1.9089804876162804e-13	1.0346805821484633e-13	1.7613794448397624e-10	2.0348430889632533e-15	3.103854090335443e-19	1.0919150480284855e-14	4.5410108903970634e-10	PNCA
50.0	2.1753993207068647e-08	2.175400320809338e-08	2.1753993207068647e-08	2.1753993207068644e-08	2.11188958122074e-08	2.025025518061832e-20	-1.8098868188990827e-10	1.7208449295614368e-13	9.459132940413897e-11	8.97435804614493e-11	4.843370141091034e-12	1.6327181184843654e-13	8.811399745459127e-15	1.7614093322986578e-10	1.1895528186243087e-15	7.275923651627843e-20	4.3788015986405006e-15	4.5410871270894153e-10	PNCA
50.0	2.174739445408814e-08	2.174739617381581e-08	2.1747394454088145e-08	2.174739445408814e-08	2.1117042248270065e-08	1.6373481176000195e-19	-1.762550971935632e-10	2.1116369948845227e-13	9.458892184076763e-11	9.447025004347148e-11	1.164705556540542e-13	2.1088284206501783e-13	2.5999022164290585e-16	1.7613642559351628e-10	1.4596926784427315e-15	4.487910837171797e-20	2.2012416421522152e-15	4.540971085909978e-10	PNCA
50.0	2.1751457407067356e-08	2.1751461576241916e-08	2.1751457407067366e-08	2.1751457407067353e-08	2.1118917714736726e-08	1.7468889178329643e-19	-1.7842864833150653e-10	1.3481227377655364e-13	9.459181619317147e-11	9.230501195726389e-11	2.271139665219904e-12	1.315742265169565e-13	3.2370658825632823e-15	1.7614184463611567e-10	9.31904184343849e-16	2.039209057024785e-19	1.566457068768343e-14	4.5411104363329243e-10	PNCA
50.0	2.1751374975214487e-08	2.1751378744224163e-08	2.1751374975214477e-08	2.1751374975214487e-08	2.11192921022015e-08	8.564811854234822e-20	-1.779733490546168e-10	2.2001930669581194e-13	1.4259014300147883e-10	1.4075804681204593e-10	1.7882730112275308e-12	2.1725418453464308e-13	2.7594522416059684e-15	1.761412531573959e-10	1.0089398569019855e-15	6.176299283928118e-19	4.382317820538963e-14	4.541095237518061e-10	PNCA
50.0	2.1949181156537305e-08	2.194928690479832e-08	2.1949181156537305e-08	2.194918115653731e-08	2.123082735128186e-08	3.488420847947506e-17	-2.6425570089742386e-10	1.1269548032042948e-13	9.458913416823963e-11	6.470221094470283e-12	8.797434925893849e-11	7.726233561934134e-15	1.0496766705137153e-13	1.7613682313026275e-10	7.790193202687849e-16	1.5754111792977025e-18	1.4456381483082997e-13	4.5409810393561914e-10	PNCA
50.0	2.189377405033691e-08	2.1894204178097676e-08	2.1893774050336906e-08	2.1893774050336913e-08	2.111915284603261e-08	1.9812268495921155e-19	-3.2051677123698267e-10	4.3169241414046584e-13	1.4555861284958065e-10	1.1810554359908918e-12	1.4435118655566747e-10	3.503868946379286e-15	4.2818782653913767e-13	1.7613921399910202e-10	1.9392156095618662e-15	7.144530849332914e-19	2.63708579222915e-14	4.54104433089732e-10	PNCA
50.0	2.1841536800588568e-08	2.1841686724399306e-08	2.1841536800588575e-08	2.1841536800588568e-08	2.1118432870120213e-08	1.0725429943103731e-18	-2.6900515178729684e-10	1.5163493758147492e-13	9.458927017028379e-11	1.7211949151089859e-12	9.286597186686484e-11	2.759319845644199e-15	1.488755973346425e-13	1.7613707776434623e-10	1.048192818131514e-15	3.079796340092165e-20	2.10338830997063e-15	4.5409877852137656e-10	PNCA
50.0	2.175168121048604e-08	2.1751685762026005e-08	2.175168121048604e-08	2.1751681210486032e-08	2.1119397222675138e-08	1.3075686813939193e-18	-1.781803482214942e-10	1.599438589672461e-13	9.459028001840125e-11	9.254889875456578e-11	2.037818791741409e-12	1.564989751741944e-13	3.4458565992720697e-15	1.761389684842135e-10	1.1056292251164354e-15	5.501976537396502e-20	3.5624720940718074e-15	4.5410363937041965e-10	PNCA
50.0	2.190592503788989e-08	2.190606218793608e-08	2.1905925037889892e-08	2.190592503788988e-08	2.118891966232226e-08	1.1426622290830556e-18	-2.6289526796612657e-10	1.8066271094398972e-13	1.151299057366307e-10	2.8376105846484986e-11	8.673499621419864e-11	4.4538712407110777e-14	1.3612371788267493e-13	1.76141469299805e-10	1.0260650765706225e-15	2.6953659480164426e-19	1.8803675947079733e-14	4.5411010752033195e-10	PNCA
50.0	2.176225879622917e-08	2.176229058466928e-08	2.176225879622918e-08	2.1762258796229174e-08	2.111614793040426e-08	2.3145120072058297e-17	-1.9202060420895858e-10	1.8195253492479997e-13	9.458750620503033e-11	7.870065378211555e-11	1.5869516023233756e-11	1.5142186979230918e-13	3.053037101718078e-14	1.7613377512550515e-10	1.2577668616721655e-15	3.0462311847281053e-19	1.7336399681010228e-14	4.540902614216189e-10	PNCA
50.0	2.1957357433771585e-08	2.1957529861126026e-08	2.1957357433771588e-08	2.1957357433771585e-08	2.1220579638070995e-08	8.603350586623487e-19	-2.8266898090418955e-10	1.7453094263811376e-13	1.0848861881772445e-10	1.960600536273023e-12	1.0649779930360865e-10	3.1555051030791966e-15	1.7137497676376879e-13	1.76140963432451e-10	1.051917215272066e-15	4.441421831499338e-19	3.021897784278656e-14	4.541088148470227e-10	PNCA
50.0	2.1779900694186085e-08	2.177994528111681e-08	2.1779900694186075e-08	2.1779900694186085e-08	2.1119227543855177e-08	7.798517688726033e-18	-2.0656391698899055e-10	2.3791388108639485e-13	1.6569127002496268e-10	1.3526848549212538e-10	3.0396588336018104e-11	1.942658357399969e-13	4.364769924141861e-14	1.7614113968133682e-10	9.38888074660722e-16	3.4356606335722367e-19	2.6196196819211267e-14	4.5410923391525204e-10	PNCA
50.0	2.1838276821501907e-08	2.1838448485912253e-08	2.1838276821501907e-08	2.1838276821501907e-08	2.1119432693469177e-08	2.1107343492871271e-19	-2.6473797317052483e-10	1.8193411063835472e-13	9.45907925256412e-11	5.992747313177369e-12	8.859248679910329e-11	1.1527338635462652e-14	1.7040665637654908e-13	1.761399280420806e-10	1.257639501533299e-15	9.765087017806292e-20	5.558413360557773e-15	4.5410615498926023e-10	PNCA
