NA	NaMN	NAM	NAD	NaAD	NMN	NAR	H2O	ADP	ATP	PPi	PRPP	AMP	Gln	Glu	H3_ac	H3_deac	Pi	NR	temperature	pathway	objective
1.0065478561529846e-12	7.0007452005790595e-09	0.1890723214271381	0.1008349687494617	2.1452355955965543e-08	0.0100926765478659	2.6815577938874773e-14	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	4.8213997557588205e-09	50.0	NAMPT	min_ratio
8.877578322515754e-15	5.624795201672302e-13	0.1880017600991092	0.101803072892031	1.6960125095534653e-12	0.0101951636276327	3.9564977770931767e-19	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.378959531452484e-09	50.0	NAMPT	min_ratio
4.27590540100885e-15	9.469000670433121e-13	0.1841395301401831	0.1041796950657297	9.612553655811273e-14	0.0116807635029394	1.5241127852948192e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.1290100453918145e-08	50.0	NAMPT	min_ratio
1.5815512391369114e-13	4.578499890849447e-13	0.1873031388951168	0.1020772571280214	6.420869639359483e-13	0.0106196024621762	-1.051137124738182e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.513427409551157e-09	50.0	NAMPT	min_ratio
3.1179209724759346e-11	1.519190265838409e-09	0.1896953980645716	0.1000333071473659	1.3952459767468984e-09	0.0102712894049904	2.939885419003524e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.4374536448116048e-09	50.0	NAMPT	min_ratio
1.862009329248109e-11	3.883938091496141e-07	0.1879172080041211	0.1006274118145881	1.1860077498502938e-06	0.0114530413504791	2.07922520721936e-10	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	7.642027100553117e-07	70.0	NAMPT	min_ratio
2.708248497484096e-15	2.551100450085825e-09	0.1898943886187699	0.1000878731430954	7.817973982846978e-09	0.0100176989630378	6.935366583203846e-14	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.890595032413564e-08	50.0	NAMPT	min_ratio
3.6321787496209725e-14	5.013302992696345e-13	0.1865278306107662	0.1024488141090747	1.125260670420041e-13	0.0110232674444281	5.179829698975106e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	8.783508067425427e-08	50.0	NAMPT	min_ratio
1.1837685104322457e-15	2.485435877834343e-13	0.1886243448626201	0.1012460794439171	7.525085611874878e-13	0.0101295260638343	-4.453688949557561e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	4.9628626188161785e-08	50.0	NAMPT	min_ratio
3.254743452647697e-09	5.163514013240402e-10	0.1874086388742856	0.1023155010467228	1.0747948428359215e-09	0.0102753620826757	1.987921517948978e-13	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	4.931502273381856e-07	50.0	NAMPT	min_ratio
9.801705560382938e-09	1.37898963768288e-06	0.1835892108823703	0.1053109335528856	4.202510322943819e-06	0.0110942623721963	1.882556485697605e-12	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.888998988676739e-09	50.0	NAMPT	min_ratio
1.6625797392582388e-14	4.804301909941137e-13	0.1870698341838049	0.1019840859060559	1.2447622397608657e-13	0.010934709541684	4.025594979536361e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.137036782952556e-05	50.0	NAMPT	min_ratio
3.359438549310353e-14	2.822042419219445e-10	0.189884888793485	0.1000054572722567	8.646435813772067e-10	0.0101094612728332	4.28560576042916e-14	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.9151450072059157e-07	50.0	NAMPT	min_ratio
1.6680036115393313e-15	1.103369970380209e-12	0.1876145290970123	0.1021167623057227	2.7876531196985687e-12	0.0102686979876215	-1.6977325203404822e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.0605750760611395e-08	50.0	NAMPT	min_ratio
3.230988644173337e-13	2.82387547597248e-12	0.17872896083133	0.1093668087696071	3.89245692783639e-12	0.0119029782704039	2.3820114956836185e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.2521216171885788e-06	50.0	NAMPT	min_ratio
1.4619474686409967e-14	2.745701566431293e-12	0.1840384466762892	0.1016268801444992	1.2538951111058492e-12	0.0143346678878808	1.1956114604378142e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	5.287316443621274e-09	70.0	NAMPT	min_ratio
