	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
12	NAD	2.8590739676847925e-05	2.857911283070226e-05	-3.33582572609142e-07	2.8590666244909708e-05	-3.31980355010985e-07	2.859497155360583e-05	-inf	2.8551030694254367e-05	1.99431766051275e-07	2.2321928393004623e-08	0.0115189855914184	1.4276882441949868e-05	-3.33582572609142e-07	0.0	0.0	0.0	6.95194987012043e-310	0.0	3.5e-323	50.0
13	NaAD	-3.977189392562784e-13	-3.980007886303831e-13	1.0143674523332547e-14	-3.9771839037875163e-13	4.075735136378939e-15	-3.97777807881335e-13	inf	-3.976097172820806e-13	2.0000489607045841e-07	-1.0000045395476285	0.0104140760603877	1.395683706908548e-05	2.8590666244909708e-05	-3.9771839037875163e-13	0.0	0.0	0.0	7.4e-323	7.4e-323	50.0
14	NR	0.0007796443370059	0.0004730057038737	0.0037912248518417	0.0007793159669231	-0.0003835849819224	0.0007797597365913	-inf	0.0004725351535452	1.9994887116112768e-07	2.2379806345420853e-08	0.0114635890256464	1.4276839816331268e-05	-3.31980355010985e-07	4.075735136378939e-15	-0.0003835849819224	0.0	1.076626217248244e+277	0.0	6.95194986536514e-310	50.0
15	NAR	-6.563309110241492e-09	-1.2010928134359577e-08	-6.551183515802753e-09	-5.0340601212274e-09	-6.568169756762851e-09	-6.564280707160035e-09	-inf	0.999999978727492	1.998582106967027e-07	2.236655468291407e-08	0.011480500319669	-1.0001404421854434	2.859497155360583e-05	-3.97777807881335e-13	0.0007797597365913	-6.564280707160035e-09	1.202581010171e-311	1.6779197143673458e+243	0.0	50.0
16	NAM	-1.0049710207849063	0.0002000258596233	-4.837304237280443e-05	0.0001898550598393	7.889400792394687e-05	8.104765965147442e-05	-inf	0.0001898635624729	0.0	0.005312640042995	1.2349535251032878e-307	7.4e-323	0.0	7.4e-323	0.0	0.0	-0.004445730597428	7.4e-323	4e-323	50.0
17	NaMN	-0.0239368553389494	0.0126338464076807	3.6371292546433375e-05	-1.9731869792414107	0.0050097432258787	0.0051096903456841	inf	0.0119919848924271	-1.4993159873781135e-154	8.214987776937058e-15	9.856547317012284e-15	1.202581014432e-311	5.654974067953369e-16	0.0	0.0	0.0	7.460827495931609e-07	1.202585151532e-311	6.384815116218036e+20	50.0
18	NMN	0.6196302522558329	-0.3739617031763956	0.2107282946952222	0.8872503955764792	0.623348823809424	0.6462393702490287	inf	-0.3549626099705723	6.9519498711544e-310	0.0	3.5e-323	0.9557311108054876	1.2025810147204e-311	1.0007877349853516	inf	1.7579269409179683	0.0	9.27923374638954e+199	1.2905803715659678e-307	50.0
19		0.004752826969838	0.0055809510703591	0.0008422451796091	0.009431091921444	0.0047799425932333	-1.0656164917400703	inf	0.0052974113157204	0.0	7.4e-323	7.4e-323	-1.000039069346784	0.0	1.2026105259294e-311	1.2025843786395e-311	1.2025826167223e-311	-1.499680168578057e-154	1.0635294425628266e-94	3.483440164960454e+228	50.0
20	NAD	0.0001036762041265	9.25202922114329e-05	-5.473836900885052e-05	0.0001966462457989	-0.0001636345278223	0.0001073809212844	-inf	8.78198064659022e-05	0.0097183808684349	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	inf	0.0	6.9519498715042e-310	0.0	3.5e-323	50.0
21	NaAD	-2.976601683079307e-07	-4.867698179405827e-07	5.722743772356243e-05	-6.332974654579024e-07	1.210331572880696e-07	-3.072307771414383e-07	inf	-4.620395178529492e-07	1.202581014432e-311	-0.0533169209957122	0.0	7.4e-323	0.0	0.0	inf	0.0	0.0	7.4e-323	7.4e-323	50.0
22	NR	0.0144654753700229	0.0095439059892155	0.8607919021118167	0.0263915410209301	-0.0281383789499226	0.0149985966546952	-inf	0.0090590286397528	0.0	1.2026105258345e-311	-1.3056411743164062	0.0	-1.305719916130727	0.0454440414905548	0.0	0.0	1.076626217248244e+277	0.0	6.95194986536514e-310	50.0
23	NAR	-1.108224666717452e-07	-2.925162847987945e-07	-8.74522717290371e-10	1.6991001387427136e-08	-1.1599278369333481e-07	-1.1830651948057458e-07	-inf	1.0000062531394511	6.95194987116864e-310	0.0	1.20258101459e-311	-9.254500810129684e-08	4.788971258627095e-10	0.0	7.4e-323	0.0	1.2025810150405e-311	1.6779197143673458e+243	0.0	50.0
24	NAM	-1.0098386057794293	-0.0384359378461503	-0.0734997344362768	0.0551805426737924	-0.073505714960689	0.0004897127894397	-0.0733439959092204	-0.0384110600284778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4e-323	0.0	50.0
25	NaMN	-0.6827394775048443	3.1113421777507693	3.991773762384421	-2.661070146208738	3.992104839594128	1.034840322861888	3.983315596231004	3.1093283507233784	-1.2945200499109178e-231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5658641877868165e-11	50.0
26	NMN	0.0065385747306896	-0.8328839717290262	0.0010543875464523	0.0099829312910645	0.0010499152662979	0.0001437868604387	0.0010521534055443	-0.8323448740740967	-1.0098386057794293	-0.6827394775048443	0.0065385747306896	0.0	0.0	0.0	0.0	0.0	0.0	0.005312640042995	1.2349535251032712e-307	50.0
27		0.0059381855487133	-0.1869281372705708	0.00080831518747	0.0091241567264446	0.0008069385811447	-1.0583808043716016	0.0008066024490818	-0.1868071449294435	-0.0384359378461503	3.1113421777507693	-0.8328839717290262	-0.1869281372705708	0.0	0.0	0.0	0.0	-1.14080410131664e-310	8.214987776937058e-15	9.856547317012284e-15	50.0
28	NAD	1.6211565137641857	-1.9809245089221883	-3.782456221970827	2.4959295661346763	-3.782764256989572	0.0221669148588018	-3.7744415785822327	-1.9796423600245496	-0.0734997344362768	3.991773762384421	0.0010543875464523	0.00080831518747	-3.782456221970827	0.0	0.0	0.0	6.9519498617786e-310	0.0	0.0	50.0
29	NaAD	-1.676982897258187e-06	2.0479514590202817e-06	3.935493449415448e-06	-2.5818798835695083e-06	3.910776081219665e-06	-2.2930179640696656e-08	3.927154535571053e-06	2.0466259275787337e-06	0.0551805426737924	-2.661070146208738	0.0099829312910645	0.0091241567264446	2.4959295661346763	-2.5818798835695083e-06	0.0	0.0	0.0	7.4e-323	7.4e-323	50.0
30	NR	-4.937342388506115e-06	-5.6338461805706905e-06	0.0002351866286425	-7.602709075966441e-06	-1.0586855448995806e-05	-6.674170161670345e-08	0.0002346882918879	-5.630197780402388e-06	-0.073505714960689	3.992104839594128	0.0010499152662979	0.0008069385811447	-3.782764256989572	3.910776081219665e-06	-1.0586855448995806e-05	0.0	0.0097183808684349	0.0	6.9519498617786e-310	50.0
31	NAR	-9.298176548696776e-08	-1.346623020579754e-08	-1.9555653760568008e-08	-1.401373151289153e-07	-1.955726481893421e-08	-3.228327744955501e-09	-1.9514217301842793e-08	1.0000079201876904	0.0004897127894397	1.034840322861888	0.0001437868604387	-1.0583808043716016	0.0221669148588018	-2.2930179640696656e-08	-6.674170161670345e-08	-3.228327744955501e-09	1.202581014432e-311	-0.0533169209957122	0.0	50.0
32	NAM	-1.0059558386309624	0.0008911221702793	-0.0009795765004145	0.0001307323252893	-0.0009795764902152	0.000891124003052	-0.0009775599646092	0.0008829046349374	0.0	9.27923374638954e+199	1.2905803715659678e-307	7.4e-323	0.0	7.4e-323	1.2025761239567e-311	0.0	0.0	1.4403395576571117e+214	1.8044389576457636e+219	50.0
33	NaMN	-1.473056373546352e-07	8.430174831565794e-09	2.0863566556194953e-09	-1.0000012763842518	2.0863570861697566e-09	8.430182654110215e-09	2.084549800686317e-09	8.352435359119577e-09	-1.5004085141336008e-154	1.0635294425628266e-94	3.483440164960454e+228	1.202581016258e-311	4.4438055886566655e+252	0.0	0.0	0.0	0.0	4.810551760417881e+228	6.384817655096139e+20	50.0
34	NMN	5.2721956379572967e-08	-1.3977111959367183e-06	1.0691861023138492e-07	2.7362764326627272e-08	1.069185692310242e-07	3.977311964870805e-07	1.0669756471789505e-07	-1.3848221199982344e-06	6.9519498715042e-310	0.0	3.5e-323	5.852818101132028e+63	1.2025810165465e-311	7.0531553666895585e+87	1.20764690151331e-153	2.1219957905e-314	0.0	9.279233746389736e+199	7.727819902446094e+228	50.0
35		0.8645876344257623	-1.0673606800966315	1.7533581700844356	0.8261391702350194	1.753358178847166	-1.06736516416772	1.749748741943898	-1.0575179510029535	0.0	7.4e-323	7.4e-323	6.384648614886652e+20	0.0	1.2026171785273e-311	1.202608112573e-311	1.202609989477e-311	-9.835463917929097e-150	1.0635294425628266e-94	3.483440164960454e+228	50.0
36	NAD	0.0922905988241619	0.6962327832663721	-1.1440194451085364	0.1021410932996681	-1.1440194508358117	0.696234537308902	-1.1416643895082697	0.6898124318335198	1.076626217248244e+277	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	1.2026105235025e-311	5.7e-322	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	50.0
37	NaAD	-9.89534146077374e-11	-7.46496524497858e-10	1.2266114956910123e-09	-1.0951505443178103e-10	1.2266105603354372e-09	-7.464984051714393e-10	1.2240864177435787e-09	-7.39612663028144e-10	1.202581016258e-311	1.6779197143673458e+243	0.0	7.4e-323	0.0	0.0	6.21648314439745e-310	1.202618754233e-311	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	50.0
38	NR	9.702488094477179e-10	7.319468157259448e-09	1.0673517539545286e-07	1.07380664310765e-09	-2.3905368631289536e-08	7.319496671675185e-09	1.0651545249321341e-07	7.251971252487588e-09	0.0	1.20261717912e-311	2.150289495073121e-13	0.0	7.50048895508246e+247	7.2020760384649804e+252	0.0	0.0	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	50.0
39	NAR	-0.0017977809454715	-0.013562340930117	-0.0036458473473376	0.0028384312394121	-0.0036458481735962	-0.0135623530416104	-0.0036383420787228	0.990123847119543	6.95194987151844e-310	0.0	1.202581016416e-311	2.309556055536773e+161	3.3339533976723545e+178	0.0	7.4e-323	0.0	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	50.0
40	NAM	-1.5437285735816129	0.0331584886729402	0.0003926176277223	0.150802759494284	0.0134691240345794	0.0128980528069278	inf	inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4e-323	4e-323	50.0
41	NaMN	-0.5623872916061745	0.4517756709112436	0.0053524690665074	-7.428272741751203	0.1835145429500714	0.1757321380871139	inf	inf	-1.2913749326918685e-231	4e-323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.202610466618e-311	4.4e-323	50.0
42	NMN	1.1676983281433388	-0.6015709811914564	0.2062080775007182	3.2246525013833365	0.5241660276025053	0.5114977236898994	inf	-inf	-1.5437285735816129	-0.5623872916061745	1.1676983281433388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8994234441157502e-52	50.0
43		0.0008709508549156	0.0002886892202668	7.674219943740982e-05	0.0030786098918014	0.0003443954910315	-1.0058751467567228	inf	inf	0.0331584886729402	0.4517756709112436	-0.6015709811914564	0.0002886892202668	0.0	0.0	0.0	0.0	-1.4956741930460482e-154	0.0	0.0	50.0
44	NAD	7.628754603698611e-07	1.6546028481758926e-07	-1.8906294688510366e-07	2.6167621459307464e-06	-6.209071074443561e-07	2.975272783324879e-07	-inf	inf	0.0003926176277223	0.0053524690665074	0.2062080775007182	7.674219943740982e-05	-1.8906294688510366e-07	0.0	0.0	0.0	6.95194987138207e-310	0.0	4e-323	50.0
45	NaAD	-4.0748884617879287e-08	-2.1409812496699297e-08	3.259462195436664e-06	-1.512555668123899e-07	1.1075558080742153e-08	-1.5067531461626014e-08	inf	-inf	0.150802759494284	-7.428272741751203	3.2246525013833365	0.0030786098918014	2.6167621459307464e-06	-1.512555668123899e-07	0.0	0.0	0.0	7.4e-323	7.4e-323	50.0
46	NR	0.0316116601693242	0.0035232006120451	0.8536454092589668	0.1053880813762354	-0.0315854318156905	0.0125474751355446	-inf	-inf	0.0134691240345794	0.1835145429500714	0.5241660276025053	0.0003443954910315	-6.209071074443561e-07	1.1075558080742153e-08	-0.0315854318156905	0.0	0.0	0.0	6.95194986536514e-310	50.0
47	NAR	3.3890483701629907e-06	-2.7224845533633754e-06	-3.225497806621912e-08	4.476413680010589e-05	-1.105892903642733e-06	-1.058994678723318e-06	-inf	inf	0.0128980528069278	0.1757321380871139	0.5114977236898994	-1.0058751467567228	2.975272783324879e-07	-1.5067531461626014e-08	0.0125474751355446	-1.058994678723318e-06	1.202615084448e-311	5e-324	0.0	50.0
48	NAM	-1.1059673447152532	0.0478523474908873	-0.061608457783894	0.0286864776303375	-0.0616084572315595	0.0479090860166141	-inf	inf	0.0	9.279233746389736e+199	7.727819902446094e+228	2.59458115875878e+161	5.5199979851301406e+228	9.479058508652662e+179	1.6928021207302066e-307	0.0	0.0	7.4e-323	4e-323	50.0
