temperature	NA	NaMN	NAM	NAD	NaAD	NMN	NAR	H2O	ADP	ATP	PPi	PRPP	AMP	Gln	Glu	H3_ac	H3_deac	Pi	NR	pathway
50.0	7.020504552850297e-09	8.287649802472402e-05	0.1859470877709611	0.10285991501589857	0.0008214954912445832	0.010285990004609238	1.598988770458184e-07	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.468299880203463e-06	PNCA
50.0	7.2872515227141815e-06	2.4753318995778307e-05	0.18990987196803025	0.10004703154463608	6.325716370119041e-06	0.010004655065086864	1.461300976747427e-09	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	7.367405725725047e-08	PNCA
50.0	6.256816233520713e-05	6.265354040494825e-06	0.18976715360318225	0.1000996089619255	5.44309775016097e-05	0.01000995864822615	7.13547678263706e-11	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.4221434053449787e-08	PNCA
50.0	1.6702474882011777e-08	1.362002358068608e-05	0.189859410634758	0.10000234960662355	0.0001243674458035654	0.01000023259999461	3.225600855814847e-11	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.9545087371871543e-09	PNCA
50.0	2.911312533491647e-06	0.00017112569512276891	0.18955271654519912	0.10000217201511659	0.0002711420145226273	0.009999930361953976	2.4794766097721895e-10	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.807603821198948e-09	PNCA
50.0	6.6903640045547174e-06	0.0001948764120866546	0.18951422531418707	0.10014798504773287	0.00012178421223016604	0.010014432504883453	8.291462377054174e-10	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	5.3157290136175195e-09	PNCA
50.0	4.62712024483267e-07	6.248564814603539e-05	0.18930128897155174	0.1000389453158644	0.0005928342415622694	0.010003888150450824	4.528271830292203e-09	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	9.043212846903944e-08	PNCA
50.0	8.10344895659313e-09	2.88968632626261e-05	0.18719465244899683	0.10251402198480195	1.7585931338722755e-06	0.010251332611366243	2.0593351611858852e-07	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	9.123461473437196e-06	PNCA
50.0	7.429773117449435e-07	0.00012887759811092055	0.18819044071316499	0.10035722590537656	0.0012869696054795075	0.010035722229577326	1.957269601436291e-09	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.9013709402258578e-08	PNCA
50.0	4.105366167103811e-05	2.8732568247230648e-06	0.18994538737480748	0.10000044560511984	1.0197135866508097e-05	0.010000040854821646	4.85062828134299e-12	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.1060381832222573e-09	PNCA
50.0	1.2405672404549304e-06	1.4392073596874536e-05	0.18955083128230812	0.10027680459784588	0.00012905064371749057	0.010027677499267884	3.794464460779034e-11	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.2980786873884783e-09	PNCA
50.0	4.903232180374829e-06	6.644519031678938e-05	0.1896007938661906	0.10025537331359012	4.712890240734602e-05	0.010025349625576848	2.961127258376555e-10	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	5.573625231651639e-09	PNCA
50.0	7.247448793172093e-06	0.00032330558459761676	0.1894134548425461	0.10009975534093779	0.00014716635732044665	0.010009058329635837	2.4877033861490673e-09	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	9.608465702338265e-09	PNCA
50.0	6.541609921992051e-05	0.0004851435131927842	0.18187200882520058	0.10383410873782309	0.00335911714868162	0.010382995887150174	3.299330180330192e-07	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	8.798557138447283e-07	PNCA
50.0	5.83008476240532e-08	1.2625801753441924e-05	0.18982641989011148	0.10003417401897632	0.00012330128361606374	0.010003416810745616	3.900206451261759e-11	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.854947410326112e-09	PNCA
50.0	1.1678153584274143e-07	6.438874610804522e-07	0.1899837817698608	0.10000875236253905	5.826440859246245e-06	0.010000875106959262	1.883185252994313e-12	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.6489015660849805e-09	PNCA
50.0	3.033996060550114e-07	0.0005343354531765404	0.189444984387761	0.10001210345429769	8.267823088333658e-06	0.009999908509219231	2.9079078231937983e-08	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	6.78937729495833e-08	PNCA
50.0	8.068252133238136e-09	2.6015788166586024e-05	0.18972476230838978	0.10001084786001807	0.00023727627790199628	0.010001079850885317	2.0112391388397403e-10	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	9.645262263290096e-09	PNCA
