Temperature	ET_NADS	ET_NAMPT	ET_NAPRT	ET_NMNAT1	ET_NRK1	ET_NT5	ET_PNCA	ET_PNP	ET_SIRT	Sol	objective
50.0	892622.6923620298	0.001090513178267	194576.5282800044	41306.13582672747	831789.6463531336	100.0	116363.62630273684	189741.3961425663	430616.1300614461	4.000029207722712	min_ratio
50.0	698255.4402601997	1000000.0	896.389267684589	187488.1971027323	4980.5733730630645	100.0	1e-06	19480.64167233488	61304.3269428892	2.000037484962147	min_ratio
50.0	5448.89341217244	1000000.0	100.0	587455.1945850069	100.0	100.0	0.001660005735803	2736.118378700484	60488.729650265166	2.000038459626631	min_ratio
50.0	100.0	980654.042340931	595891.9541328881	11223.812129681242	500234.8546634794	102.5326255419727	3.850763211614025e-05	506778.0875356637	58934.49826788356	2.0000411041696924	min_ratio
50.0	1446.5716439808875	1000000.0	316990.2533030477	141924.1310165401	1439.8090240967122	100.0	1e-06	100.0	59010.23937372853	2.000039657918858	min_ratio
50.0	208498.18452182395	387000.8956042287	100.0	13823.722771782068	8167.7673388965295	100.0	1e-06	1097.1235028224398	23104.13746565141	2.000101600505597	min_ratio
50.0	38527.02381047504	839502.8283968787	77360.90508707648	17627.77894539798	944855.0396198246	100.0	1e-06	58685.62924140591	15888.24761865456	2.000111451958342	min_ratio
50.0	1000000.0	1000000.0	100.0	303012.612741351	19779.506508994145	100.0	0.000590198944018	38469.47458391974	60713.69658653629	2.0000380945052	min_ratio
50.0	72366.9329899127	1000000.0	30124.07456385053	309910.9705589372	100.0	100.0	1e-06	307.208820875954	61380.95620846895	2.000037379847664	min_ratio
50.0	4972.29055829173	992526.7009649652	100.0	2092.712105439565	756.681789509431	100.0	0.000199702560246	106730.2925492232	59091.88778691047	2.000047685374548	min_ratio
50.0	11716.216081214	1000000.0	170142.32839274243	28709.692916259926	1000000.0	100.0	0.0011788895942746	100.0	61634.75475902517	2.0000378640410035	min_ratio
50.0	100.0	1000000.0	100.0	4126.456193094915	31104.43118857517	100.0	0.0002155990705115	669265.7635891679	61333.3318519322	2.0000414446638657	min_ratio
50.0	19240.559239034093	1000000.0	24608.314961897817	979761.2499626412	100.0	100.0	0.0001586730336267	24020.41089505325	61160.97590031735	2.0000375730156765	min_ratio
50.0	148.8747034973346	1000000.0	2875.323397051496	14334.516235345269	100.0	100.0	0.0044634645131029	100.0	61106.14570953203	2.0000394856625667	min_ratio
50.0	773926.0466234612	949926.3635674804	1000000.0	16401.738346846665	232.69742196505624	100.0	1e-06	7391.0888846373555	57305.88268741731	2.0000413127771384	min_ratio
50.0	10902.572373825054	1000000.0	347334.7949068692	241984.2024706238	613.6950408851774	100.0	1e-06	35091.22159508104	60354.97429247242	2.0000383394264087	min_ratio
50.0	4264.647915500205	944903.69431414	927625.3063498484	40456.01479242368	31602.358662983912	100.0	1e-06	179.87217674920282	20308.1814540568	2.0000938408076627	min_ratio
50.0	100.0	80772.61786797164	202643.60648469048	160.55198912741582	247191.5761063857	100.0	1e-06	670394.0821081169	615.2858701698144	2.00223769021758	min_ratio
50.0	177897.1983471264	1000000.0	201857.59057519783	4676.573550731467	247070.036192846	100.0	1e-06	2729.298068155764	60204.7003140819	2.0000419845370025	min_ratio
50.0	1263.176652874644	1000000.0	1025.3778351130975	48124.57630731504	53396.375391518086	100.0	1e-06	11138.8233810092	61584.60959869263	2.000037479996734	min_ratio
50.0	887774.7251026509	1000000.0	425629.7700339971	46128.34034554644	1000000.0	100.0	1e-06	5308.81542408542	60806.08930680277	2.000038206544705	min_ratio
50.0	967330.747812362	1000000.0	100.0	235472.0532906172	319976.2802193307	100.0	1e-06	77607.60536707069	61230.30821465018	2.0000375350281656	min_ratio
50.0	90110.27900066468	1000000.0	163493.0907605185	5209.26608091372	18030.7224007682	100.2783011370566	0.0003925217293159	8867.419473053036	61371.63901352937	2.000040617515501	min_ratio
50.0	100.0	1000000.0	37951.56957887346	417308.5812734539	274140.3022106872	100.0	1e-06	1000000.0	56489.02394054925	2.000042067059918	min_ratio
50.0	10976.681116439093	1000000.0	1326.701720280503	26410.589847005216	1808.33662802708	100.0	1e-06	389.2802349499789	61167.42657903634	2.000038137333214	min_ratio
50.0	1089.1906349390742	1000000.0	280527.7710590929	8854.498623343981	100.0	100.0	0.0031287600347725	282777.7877700376	60750.19832509349	2.000040296728375	min_ratio
50.0	29418.98014280057	1000000.0	96166.2195847516	138892.788408363	100.0	100.0	1.5471417654282749e-06	323016.60705056833	61528.63364419284	2.000037311358655	min_ratio
50.0	959171.2340389664	22488.5921544466	1000000.0	10657.951408453571	100.0	100.0	1e-06	142861.4206774463	1265.935271823923	2.0018472222106283	min_ratio
50.0	18041.75328452131	1000000.0	1395.5346788330544	72970.30095856983	81834.68706179288	100.0	0.0013566275537578	405368.9343368434	60282.53671008366	2.000038794667358	min_ratio
50.0	28359.71232710445	995394.4138261846	516857.5641767229	30045.906602778985	624938.3505424032	100.0	0.0016194939351993	832501.6454642745	61161.56412907269	2.0000382606975564	min_ratio
50.0	8729.879285489144	623433.2619609984	739.9687011870266	1965.2620385113285	352153.56015999045	345.88770281101563	1e-06	729.0053043355142	35049.65802236242	2.000142698205236	min_ratio
50.0	6661.302564429738	999971.2586523644	90692.768324045	35651.07764796048	242732.47942128585	100.0	0.0001798093958687	1563.7673774427838	61610.35739618816	2.000037604461939	min_ratio
50.0	184.17790316468185	1000000.0	575717.0636788587	244808.6294548827	6766.421625882459	100.0	0.0011508088717039	54113.16828896256	61497.13128658201	2.0000374883449896	min_ratio
50.0	100.0	992796.4167454646	1000000.0	10160.979170006129	100.0	100.0	0.0006014575003231	357273.98795318365	60469.85483591197	2.000039750308914	min_ratio
50.0	669291.1402252475	69763.4992719989	816.2431242927171	51549.83913981521	150966.1082221129	100.0	1e-06	126432.96017148953	4014.166012357916	2.000584614178859	min_ratio
50.0	78461.4599252154	1000000.0	118523.64539232552	5894.599249033856	21597.05636698985	100.0	1e-06	1000000.0	61413.98961515832	2.000040094016228	min_ratio
50.0	118.36061816487936	999804.8243795036	960480.401900414	18005.449910813284	2079.4742767833577	100.0	2.967695812449084e-06	414021.085812943	61470.974773319256	2.0000381446728994	min_ratio
50.0	15963.271531092636	725319.6598097056	4843.477009190611	31247.25413546319	452.6619657689944	132.82511441307236	1e-06	25813.33721989271	39250.07836750861	2.0000689791353223	min_ratio
50.0	654301.3941221031	878295.0763564121	1000000.0	9149.06870775887	1000000.0	100.0	0.0229016113067052	8464.821546946941	53940.39885787008	2.000048714128772	min_ratio
50.0	274472.96561223466	994442.8121056634	5095.556907980776	325991.34213126084	168214.45845751505	100.0	1e-06	2876.9440941374746	60875.86411725419	2.00003773838793	min_ratio
50.0	7424.0197374716445	389081.0111958674	3479.5497594869566	36126.58575584589	66815.332592965	100.0	1e-06	167722.9912279885	11320.437205081344	2.000197054210433	min_ratio
50.0	2598.468430583167	64401.18646586494	190.60322737980323	333.6177787212535	12794.522992810587	100.0	1e-06	213.03928012443168	3827.6692504922335	2.000654455344509	min_ratio
50.0	917.8404194244196	1000000.0	791955.6326049602	850711.0351505382	571712.5748198091	100.0	3.768752835717664e-05	53621.02473319256	61671.32057952413	2.0000370918282937	min_ratio
50.0	84894.1577411774	1000000.0	89497.67586993315	472.9241097024504	100.0	100.0	1e-06	3314.257819399028	7159.007931686988	2.000240687878137	min_ratio
50.0	1489.761373053046	916962.6020117592	387958.911604722	19837.135838843664	16899.08211430315	100.0	1e-06	803480.7198720124	56440.93553975887	2.000041354942995	min_ratio
50.0	62269.60688427811	1000000.0	16739.218232302825	84648.79817926	164493.545504303	100.0	1e-06	549111.4212122071	61472.47749654665	2.000037436707484	min_ratio
50.0	982995.042261891	0.0926033566517935	64744.96825550232	244940.5730860448	8577.372992523467	100.0	148828.5433224501	556510.0479678487	604981.9606988968	4.000019785638775	min_ratio
50.0	955589.0497686028	20914.922472998467	796.2497144551904	1000000.0	294187.3660065137	100.0	1e-06	3368.062096264446	1273.143154354046	2.0017749307765214	min_ratio
50.0	100.0	1000000.0	5273.90794875792	348730.80019237264	128.74921783639235	100.0	0.0010921568089654	380231.7233269597	61631.99300035586	2.000037337915933	min_ratio
50.0	557950.5049476575	1000000.0	71202.44953414517	55068.06971984981	1024.5328097863178	100.0	0.0001415777003833	225185.73559551104	61310.293609415625	2.000037710792848	min_ratio
50.0	525.1500096471233	1000000.0	100.0	3852.002008931901	258192.702669937	100.0	1e-06	13433.209319377183	56225.46149250919	2.000046777078851	min_ratio
50.0	29735.15206042948	12212.765908186451	4659.63420976764	100.0	289.1714980326119	100.0	5.193521205382923e-06	4575.8181328083	523.6124048917239	2.004766554990126	min_ratio
50.0	326.4128116169051	773829.6995319249	1000000.0	2794.3668267901426	100.0	100.0	1e-06	607.2873296020678	38582.23438093209	2.0000700331725696	min_ratio
