Temperature	ET_NADS	ET_NAMPT	ET_NAPRT	ET_NMNAT1	ET_NRK1	ET_NT5	ET_PNCA	ET_PNP	ET_SIRT	Sol
50.0	4632.124382000044	3.857850584715175	3928.2836333059863	1234.4557167571052	270720.7048545076	100.0	19.92637975927837	22028.26589460189	100.0	1.8301950295568e-08
50.0	515.5104724896315	2195.968155390292	11359.60066236477	1299.6132626845783	29895.9737935898	101.63369047530624	0.3135127434859072	100.0	100.0	1.2010421813751266e-08
50.0	766.6245377025532	617.938111398178	100.0	1804.4482198258168	510670.375830424	679.0756357976662	16.488158833540403	1109.6223933233018	100.0	1.8601470994937387e-08
50.0	4370.618429999667	7076.482303483776	100.0	276066.71762463753	97330.82797205234	147.48525432949742	1e-06	1013.212279125339	100.0	3.611592870983389e-08
50.0	2231.119042925101	1e-06	870141.4942537429	80083.84597317947	572.9918688492866	100.0	20.41933905891574	100.0	100.0	1.871436118173081e-08
50.0	422057.45437459776	9.402789873273043	100.0	296.8197914152155	40847.35085857279	100.0	168.7663381194111	423.5116469605081	100.0	7.659945718148921e-08
50.0	170.13935676429264	1707.5452857028406	754553.0266592669	2760.6542795188248	5608.121642601046	102.6508102732642	0.0413249149900308	5623.804454655139	100.0	9.147950591206292e-09
50.0	1650.996019051356	1715.3972885780793	403.61107950836265	77261.02924540758	1456.8812827790682	100.0	0.0005183905677966	6473.299417609991	100.0	9.1275045059581e-09
50.0	200948.93601666912	2594.5791967354894	121.3367052408907	1000000.0	100.0	854.5528552234787	1e-06	45284.497361131296	100.0	1.3348209237348294e-08
50.0	4701.5332830353	1723.2560755515026	47505.24284430582	677058.1495039541	18814.115940106563	183.1889668867189	1e-06	90040.75630788822	100.0	9.158904865590652e-09
50.0	2918.547161888649	1720.286215868456	21825.9465254644	350710.92763580976	100.0	100.0	6.147603113484422e-05	20083.82315927554	100.0	9.129063450715741e-09
50.0	8547.625689852826	1707.0237861832188	91545.23717339797	127.41565266165426	339482.94572156854	100.0	0.012425332253997	100.0	100.0	9.137874290014329e-09
50.0	4513.550104188954	1756.538365385517	518012.21452677366	100.0	246168.7175107391	137.6749506764947	0.0706309913158081	6350.801357432355	100.0	9.467438849831126e-09
50.0	100.0	1773.151362724535	448.2008052837573	461965.73792766896	100.0	431.6998473126241	0.0038036577998147	2426.775927328962	100.0	9.325216204700244e-09
50.0	36496.64201747903	1708.6172399319196	1257.6120629300174	4972.767664753904	130048.53911504192	100.0	1e-06	34982.30686530572	100.0	9.128435234393323e-09
50.0	1000000.0	65337.87127408171	100.0	100.0	319786.22947761207	100.0	1e-06	92929.1268549534	100.0	4.3349841545639977e-08
50.0	100.0	1908.098658821604	426545.89919104753	1427.1186734230516	16180.090691365762	100.0	0.5308602595446983	1000000.0	100.0	1.0602333520609918e-08
50.0	55880.29237553252	2430.057890168514	5680.240088448548	100.0	2171.1196941056155	1063.196462182329	1.08184205689551e-06	137074.5063850216	106.75771803093131	1.2482042881942354e-08
50.0	331.6736679107425	1721.8529273671315	7923.235995215859	1016.2020452551224	4874.364715241579	100.0	0.0002716056687483	215502.05208022927	100.0	9.140263593691609e-09
50.0	2144.59912828957	1718.8430629228465	494.7919843737094	83313.0699864061	737.0217790012241	100.0	1e-06	11716.451631219436	100.0	9.129862849098431e-09
50.0	67840.53419298596	1749.2757487316717	106420.80866885724	1000000.0	994.0182104596164	100.0	1e-06	239571.55395398787	100.0	9.281493187933153e-09
50.0	272597.2586662041	1e-06	823.227740563123	2317.1087876055026	20079.915278718672	100.43693247379088	19.937110914080037	100.0	100.0	1.8293332806993866e-08
50.0	242362.9435836897	1710.236768336501	98046.29508998782	30897.763344821884	41837.03643147693	319.68827730457684	1e-06	1819.2088867902237	100.0	9.216601189726735e-09
50.0	762468.0283606404	2687.355429028219	10498.344655791749	188528.37812754803	215019.4201223396	100.0	1e-06	100.0	100.0	1.4333108452224576e-08
50.0	206958.82524868925	1708.572324709312	310.4370106621329	329416.0442914951	690749.5201775745	100.0	0.0018775769066728	89943.55999351814	100.0	9.133206077980346e-09
50.0	3608.678100597412	1721.6541529156225	22168.00157458827	21621.291694759355	13614.630527626834	137.42693602260854	1e-06	77402.81803088139	100.0	9.151550742709273e-09
50.0	161235.01197328576	1736.442165807358	1430.813803814331	426362.972125054	59868.57428891446	290.86261176494315	9.499033481132692e-06	32663.9759918465	100.0	9.314304048978214e-09
50.0	600.3691470853628	1696.459961852997	8198.31768588971	67774.15734752429	936136.0063625964	1279.8492651836157	0.1876848877754328	183.0783854863489	100.0	9.655645356810314e-09
50.0	407.9443869742831	1709.1073762420892	31123.09578575989	98527.5014831349	740.3820567272988	100.0	0.001060872743678	349.20030074619194	100.0	9.127621634727324e-09
50.0	100.0	2335.3762251750413	709803.3391019818	146821.92784063594	1507.407826151649	100.0	4.223717665178957e-06	125628.68791074146	100.0	1.2369085372416692e-08
50.0	1000000.0	0.113895576980863	917956.1080585351	1000000.0	83916.26598521562	100.0	22.19762137272204	8494.308219417517	100.0	2.0273146156799658e-08
50.0	31944.34623794112	1e-06	100.0	68398.2631360464	30455.345272743623	100.0	20.058728498046023	183676.22154605063	100.0	1.8354223553780584e-08
50.0	173.2719712668104	1733.2979200454834	4688.146081403023	100.0	100.0	100.0	1e-06	11498.846775147456	100.0	9.19743709561548e-09
50.0	19962.32094411037	776.9274203401728	13593.53807888038	1000000.0	274336.6098198961	119.56900014805842	10.965742220814494	1697.1551790537155	100.0	1.4219963493058276e-08
50.0	654.7384469573607	5694.778127895552	2694.1212103877265	100.0	131.51655167425443	100.0	1e-06	5280.788403599193	100.0	2.9703943043658878e-08
50.0	671151.758046276	1831.5000755483525	39478.05447266289	49589.25005403385	100.0	100.0	0.0005948378909466	1928.6336918537745	100.0	9.722704142192248e-09
50.0	1161.3734376810412	1707.2995479685658	68601.13275064828	3723.790092464731	360195.5476358877	116.79084354466944	0.0010282286217964	100.0	100.0	9.134905032308991e-09
50.0	13277.800104696433	1712.29820649682	211.8431643081654	604.7374015323328	22837.384209309454	100.0	0.000764405390072	29735.21909779529	100.0	9.131718128272393e-09
50.0	13944.301785174071	0.0002227638426676	357471.5493179203	47221.54398413652	497300.3093582605	100.0	19.939060446751544	5134.6935695015645	100.0	1.8294371174198504e-08
50.0	12693.443430746782	719.3845851293189	100.0	807238.8962581467	526289.3809176565	100.0	11.730196364949656	998544.097698539	100.0	1.4575995579558484e-08
50.0	6447.725176731074	0.0009172914346495	2057.1514677963232	388.7740666387302	816073.1258064035	100.0	19.963184244517898	221.33176685435967	100.0	1.831988144607732e-08
50.0	14263.134499354088	1.5814748135109386e-05	897.9751040768248	306.9570469328152	818984.111855669	295.65072883134985	19.9754878819367	6848.772365735154	100.0	1.840976064089344e-08
50.0	3242.0919131701467	1675.9546595370866	37723.99826819453	1054.3572582560084	420831.287403214	100.0	0.5411208405405401	188.9480079523804	100.0	9.456573734536198e-09
50.0	771.5382904840343	1711.2965637201955	7394.959001526024	944114.6786490976	84305.08271007266	100.0	2.425443389902761e-06	2277.696141191592	100.0	9.148666835548174e-09
50.0	61388.66760968382	1977.7257932416787	100.0	13276.231936654398	5450.489219740912	100.0	1e-06	12617.050084309903	100.0	1.0526458016286476e-08
50.0	1173.9330353583382	0.0123265679842702	367.99418096320943	3229.4294343453093	16719.19386856092	100.0	20.108494496800684	5253.442053068762	100.0	1.843906082110057e-08
50.0	2996.814456763588	8.544299197121073e-06	12936.170195689963	17496.67581050169	16256.010178155844	100.0	19.986025330341203	156.49826309917205	100.0	1.833644850169735e-08
50.0	37035.25947926085	1708.8744066854042	13369.832067117231	162.56522036416365	11884.62413854142	100.0	1.6031921959022686e-05	216.74794208042908	100.0	9.135884729392197e-09
50.0	100.0	1707.3504777826877	719668.8017452366	8170.710978755172	170967.17628141906	100.0	1.3958211417896022e-05	1717.0315831572027	100.0	9.128135939408776e-09
50.0	35290.206740149704	3752.195113624645	759502.0280357765	160915.24545289614	1000000.0	100.0	2.6417460454095623e-05	113096.71852958592	116.70440021782636	1.9984415369166497e-08
