temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway
50.0	4.623287130009709e-09	4.625151567606318e-09	4.623287130009707e-09	4.62328713000971e-09	4.356734264761124e-09	1.0748075903042607e-17	-9.960695478108179e-11	1.85381853638722e-12	3.4894062662267385e-11	4.133227053308043e-14	3.485243683054564e-11	2.1958832503870612e-15	1.8516225400609152e-12	6.475423513565286e-11	1.2814943436707893e-14	1.424470932617967e-19	2.9356118866464452e-16	1.6694591046927203e-10	PNCA
50.0	4.622209637429631e-09	4.630657203876053e-09	4.622209637429631e-09	4.622209637429632e-09	4.358486448973646e-09	5.373519137215746e-18	-9.703641406384659e-11	9.019552827684852e-12	3.483747273501573e-11	2.4500621374424917e-12	3.2386904522533095e-11	6.343406772187069e-13	8.385211014036203e-12	6.464900883957063e-11	6.235429170474281e-14	1.1967270749746353e-18	5.060750401379312e-16	1.666867743923601e-10	PNCA
50.0	4.798858673295346e-09	4.8093979708281015e-09	4.798858673295347e-09	4.798858673295346e-09	4.5309868652384355e-09	2.6817036416763825e-18	-9.496656369829536e-11	1.3533868418557485e-11	3.6136300572415544e-11	8.234024436102347e-12	2.785593439669589e-11	3.0881380298883606e-12	1.0445571672670466e-11	6.706429024417718e-11	9.356714384608129e-14	1.5871658084584414e-16	4.6341739617304324e-14	1.7290524435812427e-10	PNCA
50.0	4.582116316849851e-09	4.582121638269463e-09	4.582116316849812e-09	4.58211631684985e-09	4.350641132141994e-09	4.3964530796757207e-16	-6.489761660409846e-11	3.5226485358631503e-13	3.4817876102410786e-11	3.453238967731459e-11	2.8528338615889265e-13	3.49378566868055e-13	2.8863275878241206e-15	6.461256998662454e-11	2.4350736982171334e-15	1.876221531957188e-20	2.0303893731292002e-16	1.665775679414461e-10	PNCA
50.0	4.582735274699862e-09	4.582737437273727e-09	4.582735274699853e-09	4.582735274699862e-09	4.347654075669607e-09	2.681990630444244e-18	-6.854596391326385e-11	1.7964775871315883e-14	3.480904711191769e-11	3.0859234025369714e-11	3.949620899984199e-12	1.592635912987459e-14	2.0383854476176227e-15	6.459615299462189e-11	1.2418327577980447e-16	9.059194082377672e-22	1.9218656377848478e-16	1.6653523563107423e-10	PNCA
50.0	4.602765836173394e-09	4.609103274778607e-09	4.602765836173392e-09	4.602765836173394e-09	4.3570777601986395e-09	2.219787896388234e-15	-7.914726008361897e-11	1.4905948228066397e-11	3.480568948689495e-11	2.0246119306898806e-11	1.4555994235101823e-11	8.671564160792363e-12	6.234370072809905e-12	6.458990969142778e-11	1.0305454128490655e-13	1.3988693519180055e-17	3.575944894325267e-15	1.665408158912261e-10	PNCA
50.0	4.588812510010964e-09	4.588932073993406e-09	4.588812510010962e-09	4.588812510010964e-09	4.352184047136549e-09	1.5241686019467209e-15	-7.00897378461358e-11	7.591148720870015e-13	3.6405150689422546e-11	3.091136415962528e-11	5.49327851669317e-12	6.445684567710305e-13	1.1454635988356466e-13	6.459747544589048e-11	5.017531776591709e-15	9.675206236801582e-20	5.08013104095021e-16	1.6653872506733044e-10	PNCA
50.0	6.057324067118621e-09	6.0585305522731005e-09	6.057324067118623e-09	6.057324067118621e-09	5.6846749401418665e-09	2.6791029462901233e-18	-1.3759613457177903e-10	1.266617505260896e-12	4.908980340472455e-11	2.665845730806557e-12	4.63644230795972e-11	6.888808073657613e-14	1.1977153794886948e-12	9.117217958416282e-11	8.75572973388829e-15	1.4046673473108598e-17	5.953459432079198e-14	2.3505299239777663e-10	PNCA
50.0	4.601929015928309e-09	4.603717711489361e-09	4.601929015928309e-09	4.601929015928311e-09	4.3507260975580536e-09	1.298321354399518e-15	-8.460172603366869e-11	3.143506459693239e-12	3.5539983995290814e-11	1.5556856763989662e-11	1.9980750485012126e-11	1.3761022602581397e-12	1.7674022743063257e-12	6.461989712354223e-11	2.1291363753112194e-14	1.920180570266141e-18	2.3767462890335875e-15	1.6660119233676628e-10	PNCA
50.0	4.6079203100889805e-09	4.607964200371487e-09	4.607920310088972e-09	4.607920310088981e-09	4.357059867722662e-09	1.3573751816875687e-16	-8.381045179020406e-11	7.962199379480392e-14	3.491642090044357e-11	1.5901642509802306e-11	1.8996657420575767e-11	3.628210943403771e-14	4.333950937863823e-14	6.4795809411807e-11	5.503951915397017e-16	3.7759287205284867e-19	1.8120970065487198e-14	1.6704999030138872e-10	PNCA
50.0	4.591753343330837e-09	4.5920321831422595e-09	4.591753343330837e-09	4.591753343330838e-09	4.357705358266193e-09	8.383555835863063e-18	-6.72448281625025e-11	3.733852878605051e-12	3.563680738238932e-11	3.309054079288124e-11	2.4115157372032572e-12	3.4802650089912493e-12	2.534585207218521e-13	6.469856995634909e-11	2.525193565803438e-14	1.2935502070281645e-16	1.3475085230483575e-13	1.668031569023431e-10	PNCA
50.0	4.579107395201043e-09	4.579108104146693e-09	4.579107395201042e-09	4.579107395201042e-09	4.347963491027233e-09	1.455894279976866e-17	-6.460285945971086e-11	1.0077483219557858e-13	3.4810244658099595e-11	3.480575040610382e-11	4.2564122897098834e-15	1.0076728957923722e-13	1.232286498830327e-17	6.4598379760806e-11	6.96616505564915e-16	6.289092832783835e-21	2.3783970604962774e-16	1.6654104471995108e-10	PNCA
50.0	4.579459525196085e-09	4.579470753815134e-09	4.579459525196085e-09	4.579459525196086e-09	4.348161761845837e-09	5.750623637337675e-17	-6.476500210367986e-11	9.51347950541379e-13	3.4808297804322536e-11	3.463799789674328e-11	1.7021804060501315e-13	9.46695834184057e-13	4.6522503677372075e-15	6.459475970169262e-11	6.576348905890251e-15	2.043628150433423e-20	8.186697425734491e-17	1.6653276124721161e-10	PNCA
50.0	4.58571394114236e-09	4.585937728489337e-09	4.58571394114236e-09	4.585713941142359e-09	4.352895840030048e-09	6.554342535020523e-16	-6.619035653035717e-11	4.326123353574792e-12	3.482728891029252e-11	3.3266349516320604e-11	1.5608285844432612e-12	4.13224214681691e-12	1.9388115219066816e-13	6.463007257129895e-11	2.990607151229004e-14	1.257167468676254e-19	1.1080952864610399e-16	1.6662774458129382e-10	PNCA
50.0	4.615910426000236e-09	4.617155243226613e-09	4.6159104260002365e-09	4.615910426000237e-09	4.349968815049448e-09	2.68198722423658e-18	-9.933503111472532e-11	1.2402134277045318e-12	3.482348630037702e-11	1.1145433264107952e-13	3.471173610863012e-11	3.969405982565066e-15	1.2362440354052452e-12	6.462300183063139e-11	8.573204305182418e-15	9.623841415660035e-20	2.9585910583390546e-16	1.6660657983440842e-10	PNCA
50.0	4.579592566295113e-09	4.579594384682156e-09	4.579592566295115e-09	4.579592566295113e-09	4.348224259073699e-09	7.219301169006952e-18	-6.48445827074645e-11	1.3140299579657612e-12	3.535146202591351e-10	3.532616649395765e-10	2.485601427183868e-13	1.3131087120696358e-12	9.239002102597286e-16	6.459163460208985e-11	8.943376355521633e-16	1.4921261822997842e-19	4.395176840251417e-15	1.6652372451906647e-10	PNCA
50.0	5.050018324193416e-09	5.071487717894842e-09	5.050018324193776e-09	5.050018324193416e-09	4.7635695113482105e-09	2.6813289987178786e-18	-1.0613185110318247e-10	2.219605440337396e-11	3.768345349616954e-11	1.4934236436357103e-12	3.6170823407927964e-11	8.801279603346966e-13	2.131582306601854e-11	6.994182395207955e-11	1.534672583648869e-13	1.033775632057448e-16	1.9206444605853544e-14	1.8031696172192167e-10	PNCA
50.0	4.5925296494754425e-09	4.592662386196877e-09	4.592529649475444e-09	4.592529649475442e-09	4.358591088357039e-09	2.6819720183188847e-18	-6.688914958074063e-11	2.0771878592742932e-12	3.491580555730582e-11	3.282131849823647e-11	1.9836448418677384e-12	1.9588102132847742e-12	1.1831726938233198e-13	6.479466520369456e-11	1.4359067671097196e-14	6.038436310690069e-17	1.1084221720161179e-13	1.6704941153761232e-10	PNCA
50.0	4.600461294716239e-09	4.600871189731684e-09	4.600461294716241e-09	4.60046129471624e-09	4.36099840120954e-09	4.9397387772138e-16	-7.225979913091829e-11	1.9552108393542386e-12	3.49478250962204e-11	2.75417364668174e-11	7.014150142843832e-12	1.55883168009358e-12	3.9617696778002294e-13	6.485420447543994e-11	1.3515854889552224e-14	2.0219278865078844e-16	3.9193848655917023e-13	1.6720309437573213e-10	PNCA
50.0	4.58886778495727e-09	4.589532724567717e-09	4.588867784957269e-09	4.588867784957269e-09	4.3528771052293125e-09	9.792463147661889e-16	-6.931952944723915e-11	4.7152991842160205e-12	3.4836147680354585e-11	3.0162183957920136e-11	4.671367830642646e-12	4.0829561074018665e-12	6.323398643147418e-13	6.464654497123112e-11	3.259653622990189e-14	3.2094359587789106e-18	2.595891791795514e-15	1.6667115028060544e-10	PNCA
50.0	4.60688670574236e-09	4.607061385524682e-09	4.606886705742214e-09	4.60688670574236e-09	4.3661127545514434e-09	1.1757273864395231e-17	-7.344721828001833e-11	6.990483470938342e-13	3.4974152775522585e-11	2.6430082567931987e-11	8.484957670266334e-12	5.292008457767583e-13	1.6983670165906847e-13	6.490316008695283e-11	4.832273987950007e-15	1.0806791955342205e-17	5.911253732426403e-14	1.673267326536471e-10	PNCA
50.0	6.063629977007392e-09	6.068020571702512e-09	6.063629977007306e-09	6.0636299770073925e-09	5.6910763888633885e-09	2.679126584274e-18	-1.3918617568823837e-10	4.366874703481355e-12	4.873918880485062e-11	7.218493160714826e-14	4.8665392335489975e-11	6.4678026589671975e-15	4.360405615573441e-12	9.05191744343109e-11	3.018779424343005e-14	1.3188116737842059e-18	1.6115377535058217e-15	2.333674125155758e-10	PNCA
50.0	4.674964339284585e-09	4.674965129643024e-09	4.674964339284578e-09	4.674964339284586e-09	4.436490007996838e-09	2.6818246449359083e-18	-6.686303993458519e-11	5.193565344747532e-14	3.586785700262839e-11	3.556988092951655e-11	2.9789666358092187e-13	5.15046328352293e-14	4.3134953228396525e-16	6.656506691835364e-11	3.59010424885032e-16	1.0501998884791404e-21	7.940953091242852e-17	1.71611290978106e-10	PNCA
50.0	4.976450325922921e-09	4.9979039094656026e-09	4.97645032592292e-09	4.976450325922922e-09	4.683651561910488e-09	2.6813735784443385e-18	-1.0942059997284412e-10	2.1312294889062836e-11	3.831497607652226e-11	1.0906757304457761e-14	3.830382582633779e-11	6.066808738251785e-15	2.1306226851134417e-11	7.111653333489055e-11	1.473554623545284e-13	1.2370472954297597e-18	2.4349288000787585e-16	1.8337816403969815e-10	PNCA
50.0	4.582804730445835e-09	4.582850425428355e-09	4.582804730445835e-09	4.582804730445835e-09	4.348321189768817e-09	6.236356920284014e-17	-6.793081638246549e-11	4.4576364880801986e-13	3.4812587651709743e-11	3.1484445327992776e-11	3.3279561024807624e-12	4.03150301249501e-13	4.261358639549968e-14	6.460273641951441e-11	3.0813984565650064e-15	2.1778870221605604e-20	1.8622123621016839e-16	1.66552724297357e-10	PNCA
50.0	4.724911719855621e-09	4.725715404438592e-09	4.724911719855621e-09	4.724911719855621e-09	4.449744977136958e-09	1.1936745396163426e-17	-1.0282760039303383e-10	7.990181544120295e-13	3.601938328176499e-11	3.8628730858304624e-14	3.598055349885437e-11	8.569070282957638e-16	7.981612318157339e-13	6.684685777980592e-11	5.523335563668271e-15	4.073492720585484e-20	2.01052052319281e-16	1.7233914232469683e-10	PNCA
50.0	4.619160597840567e-09	4.6191829224498285e-09	4.619160597840556e-09	4.619160597840567e-09	4.386527532725534e-09	1.9039346129137935e-16	-6.501957352526435e-11	3.161468252523679e-12	3.503390487472001e-11	3.502840900212857e-11	5.2050262562266605e-15	3.1610017262454034e-12	4.697065380632148e-16	6.501426805780002e-11	2.1854662997973634e-14	2.3971925569399113e-19	2.908463352096313e-16	1.6761349157810217e-10	PNCA
50.0	4.6052674160002685e-09	4.605664833819905e-09	4.605267416000325e-09	4.60526741600027e-09	4.3619134191579084e-09	2.6819706293583382e-18	-7.645112601888365e-11	1.1610703590671227e-12	3.488573534387007e-11	2.3173357574222424e-11	1.1694328035523428e-11	7.716786598846171e-13	3.8938622375813913e-13	6.473875083758306e-11	8.026106725744994e-15	5.489233026630888e-18	1.804973412422261e-14	1.6690287091710145e-10	PNCA
50.0	4.579799895037531e-09	4.579801598228663e-09	4.5797998950375295e-09	4.57979989503753e-09	4.34860718475509e-09	3.039780505040211e-18	-6.466074935192132e-11	1.942532853821343e-13	3.4808356154477415e-11	3.4742471937123966e-11	6.456488719054424e-14	1.9389371756678497e-13	3.6032653404917886e-16	6.459486820033257e-11	1.3427973180049447e-15	6.724948724629128e-20	1.3193301629037272e-15	1.6653196090453468e-10	PNCA
50.0	2.1607520499292097e-08	2.1608717178461657e-08	2.1607520499292104e-08	2.1607520499292104e-08	2.1004638677846516e-08	1.0946924965309617e-16	-1.6848031707780083e-10	1.6932827306083056e-10	9.049182586628215e-11	9.04787207188964e-11	1.290315408410229e-14	1.6930416824036638e-10	2.4144460646055205e-14	1.68467321399647e-10	1.1725312566161253e-12	3.452186414809185e-18	2.0199330164607715e-16	4.344015043678044e-10	PNCA
50.0	2.1030436695918673e-08	2.1048331292899858e-08	2.1030436695918667e-08	2.1030436695918673e-08	2.0326111868606845e-08	9.211638544140855e-18	-2.549051761103326e-10	2.063557060222429e-11	9.361665773785846e-11	1.302764821641172e-11	8.029769511247317e-11	2.8836491460880885e-12	1.7751333252953557e-11	1.7431617580108774e-10	1.42675530063232e-13	5.88198950556385e-16	2.9131440897357276e-13	4.494196512009319e-10	PNCA
50.0	4.599207154317819e-09	4.599212707664802e-09	4.599207154317817e-09	4.59920715431782e-09	4.35185736416767e-09	8.352760302598766e-17	-8.056960161899975e-11	1.2009994170552454e-14	3.4860144121233854e-11	1.8981623928680277e-11	1.5877873979830792e-11	6.539650612328798e-15	5.470310389495399e-15	6.469116512894988e-11	8.302025797211285e-17	2.033437201270102e-21	6.462127227901219e-16	1.6678018835624888e-10	PNCA
50.0	4.616967048142651e-09	4.616967561855814e-09	4.6169670481426134e-09	4.61696704814265e-09	4.3831211065586745e-09	4.606698703225371e-17	-6.5357239848632e-11	7.333984012785571e-14	3.52165342630655e-11	3.5213116982774264e-11	3.2364348601926713e-15	7.333908460614048e-14	6.740582820256726e-18	6.535386890275251e-11	5.069691279253867e-16	3.440121363313723e-21	1.8084543104414633e-16	1.6848870146791979e-10	PNCA
