Temperature	ET_NADS	ET_NAMPT	ET_NAPRT	ET_NMNAT1	ET_NRK1	ET_NT5	ET_PNCA	ET_PNP	ET_SIRT	Sol
50.0	561672.2806879217	9.87235574519258e-06	43911.315070725606	188558.3709438904	96004.61965921277	100.0	71202.62932234134	3228.630101238205	100.0	0.2726990022330765
50.0	100.0	873352.4489473666	6083.449502559614	35358.55754245517	49391.69819145736	151.77137759943562	0.0010275475415963	100.0	100.0	0.2727201268331947
50.0	1022.255727429194	811365.914068965	100.0	144636.434697568	39665.3830013916	100.0	1e-06	116.5645589747859	100.0	0.2727208251858063
50.0	356.6470974966323	819200.7225927202	698.7660040701917	135728.47695167587	3030.2277490981915	100.0	1e-06	30739.07753622155	100.0	0.2727206924564123
50.0	1409.4943683807987	201621.2268090134	100.0	342838.51761266845	31566.83270572585	100.0	0.0015388892755997	100.0	100.0	0.2727021223239801
50.0	578215.3702909675	0.0062639522016745	61799.01400018839	257689.34190659813	100.0	100.0	54436.85302574762	19695.577473604983	100.0	0.2726965516402523
50.0	19619.011765022537	858150.624734313	229.06706043010783	65730.2089215924	730.0180159181589	278.1697189709745	23.53452669042165	55119.38206712616	100.0	0.2727202075717009
50.0	420024.436173369	1.2585436518833852	69234.63177884881	284609.3804175592	39481.30562247607	311.1857564140128	136121.4192747033	49575.90212388058	100.0	0.2726998803512895
50.0	61362.00875000867	709192.7206797712	1699.0002626149644	112020.4614731856	99089.32762945908	100.0	0.0015792788970623	100.0	100.0	0.2727199020188724
50.0	197.0809127505069	887735.5838559073	525.1413327370129	79879.08257124531	26819.245261529228	109.21537950030311	1e-06	950.3037657451424	100.38688164172729	0.2727209772630582
50.0	577423.3111155609	460.2065018915594	38628.45295663401	152616.2360787126	100.0	100.0	132710.99138741498	25953.593148311847	100.0	0.2727031144896682
50.0	671515.0861940739	0.3083282293147787	11754.24765087908	108138.74250689385	826.8497499886053	100.0	158197.74743882593	43322.44122754011	100.0	0.2727032574914549
50.0	591295.6557757612	5.830886759644789e-06	2248.909620095364	231487.9102287591	12420.87971966042	108.09605821294916	80028.04358255756	100.0	100.0	0.2726901284102145
50.0	505.6719970049919	891268.5717366074	100.0	10740.372283732124	111.54482392176152	100.0	1e-06	90026.81833827101	100.0	0.2727168680267136
50.0	3290.66179354472	608122.4568119673	5758.698240401189	17872.052588052273	353670.8278415064	335.87705295616433	1e-06	1257.6967000551094	100.0	0.2727163101649215
50.0	2854.0079359420324	850228.3487326535	100.0	17391.32323074557	87314.9829061509	100.0	1e-06	100.0	100.0	0.2727185307309155
50.0	100.0	690483.7143828312	100.0	229920.4239683604	43843.408451072886	100.0	0.036661362560509	21246.205281827424	100.0	0.2727198841947089
50.0	103869.58353602958	310676.39598576294	6508.923211952594	83867.50749861123	332278.3480535598	100.0	229.3918540710407	1539.8408229452443	100.0	0.2727103736464427
50.0	591303.6462821431	0.2337203983492756	36792.05396109608	125051.57355361887	9961.538357364365	100.0	197390.01528995615	100.0	100.0	0.2727045869794052
50.0	1937.511249223324	860850.6206822956	58894.49683646184	49566.1596803412	13741.372989630388	100.0	5.39770192181141e-05	6937.543027809149	100.0	0.2727203529655238
50.0	100.0	865176.7025883845	325.40056106259226	85703.98035974204	47586.8448538471	100.0	0.0009060152921372	100.0	100.0	0.2727209700468942
50.0	18497.24334225297	836737.710522637	3016.0317991545403	13517.537742371542	9474.746451381618	100.0	1e-06	1168.8509830150442	100.0	0.272717257556309
50.0	8316.399299893375	846559.7660445706	3087.875669756982	95222.12203578302	14076.163411060745	100.0	0.0032504281946445	25421.7015018671	100.41140838448575	0.2727207964308444
50.0	457128.93001572695	18.036882894239664	10157.347080354088	46669.16525528537	29965.35302769756	100.0	174190.7325625906	100.0	100.0	0.2726916703243879
50.0	549026.5315525042	4.989397389415015	31861.81188948224	143072.35297758877	25859.063876885684	188.87356866173883	239052.0985721644	100.0	100.0	0.2727046695756699
50.0	758.6368978601788	828888.1635345856	5674.0752323536	89568.34252365513	62560.41436227698	1174.21949769789	1e-06	100.0	100.0	0.2727201407111287
50.0	450798.2878621364	0.3415295489748582	11086.32506211162	64140.0882654357	857.2752900679412	100.0	441369.13513129856	2263.87288367272	100.0	0.2726951189212572
50.0	1271.8041082765926	900103.5941572976	335.8255908529074	70127.2095052572	1142.7200096611632	100.0	0.007603605309288	143.55971927673656	109.82729822808692	0.2727175052507251
50.0	628524.7707401324	1.638349821837142e-05	33971.89303608124	139083.3778803299	211.1797363624975	265.1890152320772	152311.24421070516	26566.975747292257	100.0	0.272703869285334
50.0	15179.118719177686	864540.913080622	552.2810534389918	96056.69407603354	22294.558417024284	117.14621380576772	3.902276481560485e-06	100.0	100.0	0.2727209169163734
50.0	391275.94530292274	0.0031441925957203	81671.47710396789	129862.08624985324	63564.40822932511	100.0	75822.42860912446	100.0	100.0	0.272692328322432
50.0	100.0	672997.7096816823	3710.780107715053	53090.10770408841	54281.72515096207	100.0	1e-06	1070.4985778264709	100.0	0.2727189845204729
50.0	587922.3774233973	1.8102881818778456e-05	39347.93938233327	140477.632617078	7249.767778532909	100.0	191962.1600166398	18449.305595146907	100.0	0.2727049564997986
50.0	640497.402272016	6650.0165253117775	13866.55273764501	113185.01621328354	19798.23122543577	100.0	131809.90449599552	56358.967322881	100.0	0.2727026128477818
50.0	25418.698802082035	765795.6235795417	100.0	80693.38551542499	477.61808891174655	100.0	1e-06	29307.8818533218	100.0	0.2727199465801286
50.0	634834.5634188969	33893.208280837775	32553.94570392191	134824.07330897977	10334.010869106389	101.10951600765824	133985.98739129415	9846.859179997296	100.0	0.2727048806734513
50.0	100.0	892417.6670584589	100.0	83895.68644533858	11511.65880195228	100.0	0.0727915883433796	101.72683986099608	100.01665060517118	0.2727208466701628
50.0	8102.842985007113	733696.8286178746	56650.131014971616	52140.18345768625	105702.91429252912	100.0	0.0051964141366744	4809.555626027423	100.0	0.272719605181573
50.0	1570.392698920391	864793.2301934414	2346.333507483317	98238.403561245	21560.48957316618	102.53197326782042	0.1030964689691626	1272.9214826617872	101.06276084165756	0.2727208836601972
