temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway	objective
60.0	7.807965520345941e-10	9.581309128880943e-10	7.807965520345943e-10	7.807965520345942e-10	2.433039320344144e-15	4.548853197320095e-14	-5.05449759257122e-11	1.210840907289025e-16	2.0964612819975474e-19	4.0955853012545205e-30	2.0964083281565876e-19	2.3661830601627923e-27	1.2111787469757802e-16	5.059046424803928e-11	1.7733423976940936e-10	5.857127856549614e-23	5.295380000480934e-24	7.302491430695616e-10	PNCA	min_ratio
60.0	7.15167960951463e-10	8.552776374221943e-10	7.15167960951463e-10	7.15167960951463e-10	4.9023032324939386e-12	9.750184282974966e-14	-5.014477608696349e-11	2.3964388335767894e-15	5.160013478173997e-18	1.1172725168700963e-19	3.54190903838465e-20	1.1012353652893271e-15	3.491496652931474e-16	5.024227288150703e-11	1.401083812674473e-10	9.460536187092528e-16	5.0128671361031415e-18	6.601208816320055e-10	PNCA	min_ratio
60.0	7.709099220940998e-10	9.48573166991738e-10	7.709099220940997e-10	7.709099220941e-10	4.674175298230392e-14	3.5604478546750206e-17	-4.9235645269490683e-11	1.2129725076720662e-16	2.0403461063084755e-19	1.4725011303036957e-22	2.925030751807813e-20	5.455244411925457e-19	1.0836516808636522e-16	4.9235680670081854e-11	1.7766312414590567e-10	1.2386564734172893e-17	1.7463705299973907e-19	7.216275350716268e-10	PNCA	min_ratio
60.0	3.7412680977714384e-08	3.743143950237434e-08	3.7412680977714245e-08	3.741268097771439e-08	3.521683427393321e-08	3.304808821704804e-14	-5.302797158113449e-10	1.478442496525071e-11	1.1091678010330804e-11	1.1426798308659273e-19	1.1091447316520612e-11	1.5231424258961255e-19	1.4784418812060265e-11	5.192210860071245e-10	3.97409984700633e-12	5.884262210646958e-18	2.305795422139095e-16	1.6655669879662062e-09	PNCA	min_ratio
60.0	5.071163673444558e-08	5.0712033556864035e-08	5.071163673444557e-08	5.071163673444558e-08	4.8355144699449194e-08	4.6332304471769454e-17	-5.600235231551928e-10	2.8538398882213497e-19	2.309300683933729e-18	1.665077996446138e-23	4.876830163877357e-20	5.1615210603639876e-23	1.5117527196083519e-19	5.600235671871391e-10	3.968221331309952e-13	1.3415469283066139e-19	2.260515731514991e-18	1.7964685118322601e-09	PNCA	min_ratio
60.0	3.937645779885888e-08	3.937938563164643e-08	3.9376457798858655e-08	3.937645779885887e-08	3.813332724614069e-08	3.1306923942117515e-13	-2.951955964705238e-10	2.547878622588305e-17	1.4794008616145424e-17	1.4790410245256553e-17	3.1195837028397095e-25	2.4825637583380673e-17	5.2362073217695715e-25	2.9550866571405585e-10	2.9278327874237447e-12	1.1562285030424884e-22	3.598058930505738e-21	9.479349562399575e-10	PNCA	min_ratio
60.0	2.946087356168322e-17	2.40117195293271e-14	2.9460873561683284e-17	2.9460873561683216e-17	2.946040365727546e-17	8.876470443222554e-22	7.119751268023761e-23	2.3728687772692352e-14	2.8506363803222874e-22	3.2269866230954143e-28	5.650382176522236e-29	1.3986499571353536e-18	2.45652915508439e-19	5.313862163084515e-22	2.5496953303019294e-16	2.3727043469879012e-14	2.8506325882974464e-22	5.411019204394588e-22	PNCA	min_ratio
60.0	7.78988420839232e-14	4.515253247137618e-07	7.78985983186802e-14	7.78988420839232e-14	7.791389593583413e-14	2.608795583656341e-17	1.5407798572089943e-17	4.5234330545219416e-07	1.0599692345390232e-17	2.98752009761579e-20	1.0565001723613916e-17	8.454250788215197e-10	4.51493935961609e-07	1.1034012127081695e-19	2.736644154740456e-11	3.944411764076546e-12	4.815420800177619e-21	3.5394665992691794e-19	PNCA	min_ratio
60.0	2.2748832500447696e-09	2.281672538289595e-09	2.2748832500447696e-09	2.2748832500447688e-09	5.102632150116799e-16	2.553722703599344e-13	-5.372412138066561e-10	4.8732978950958096e-18	2.2168916852073413e-18	2.2103106745482677e-18	1.4023815899031786e-22	4.746999228715156e-18	3.011841006069094e-22	5.374965860704264e-10	6.789288244259365e-12	2.6482501638145137e-22	6.440772500085405e-21	1.7376415259749067e-09	PNCA	min_ratio
60.0	1.0703215434183983e-06	1.0704946697142605e-06	1.0703215434183983e-06	1.0703215434183981e-06	1.0694540279424047e-06	6.368487342273537e-13	-2.0557246926698163e-10	1.781854831287385e-14	1.2845899344196538e-16	1.224011889639472e-16	6.044755338797682e-18	1.698142017913609e-14	8.386236409500286e-16	2.0620931194332486e-10	1.731254572034255e-10	3.465975165624874e-20	1.3049139220316901e-20	6.619430067267627e-10	PNCA	min_ratio
